Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2290;Hohenpeiﬂenberg;NM;28.04.2021;28.04.2021;1;;eor;                                                                                                                                                   
2290;Hohenpeiﬂenberg;NM;18.12.2023;18.12.2023;1;;eor;                                                                                                                                                   
2290;Hohenpeiﬂenberg;SDK;01.04.1945;31.03.1946;365;Kriegsjahre;eor;                                                                                                                                     
2290;Hohenpeiﬂenberg;SHK_TAG;22.01.1901;26.01.1901;5;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;28.01.1901;28.01.1901;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;18.03.1901;20.03.1901;3;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;28.03.1901;28.03.1901;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;01.04.1901;05.04.1901;5;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;07.04.1901;12.04.1901;6;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;15.04.1901;16.04.1901;2;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;19.04.1901;07.10.1901;172;;eor;                                                                                                                                            
2290;Hohenpeiﬂenberg;SHK_TAG;09.10.1901;15.11.1901;38;;eor;                                                                                                                                             
2290;Hohenpeiﬂenberg;SHK_TAG;05.01.1902;05.01.1902;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;10.01.1902;13.01.1902;4;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;02.03.1902;08.03.1902;7;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;15.03.1902;15.03.1902;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;21.03.1902;25.03.1902;5;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;28.03.1902;30.03.1902;3;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;01.04.1902;01.05.1902;31;;eor;                                                                                                                                             
2290;Hohenpeiﬂenberg;SHK_TAG;03.05.1902;06.05.1902;4;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;11.05.1902;13.05.1902;3;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;16.05.1902;02.12.1902;201;;eor;                                                                                                                                            
2290;Hohenpeiﬂenberg;SHK_TAG;14.12.1902;14.12.1902;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;18.12.1902;18.12.1902;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;07.01.1903;11.01.1903;5;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;10.02.1903;15.02.1903;6;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;21.02.1903;23.02.1903;3;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;26.02.1903;03.03.1903;6;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;06.03.1903;06.03.1903;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;12.03.1903;31.03.1903;20;;eor;                                                                                                                                             
2290;Hohenpeiﬂenberg;SHK_TAG;04.04.1903;05.04.1903;2;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;25.04.1903;15.11.1903;205;;eor;                                                                                                                                            
2290;Hohenpeiﬂenberg;SHK_TAG;17.11.1903;17.11.1903;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;24.11.1903;25.11.1903;2;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;11.03.1904;11.03.1904;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;16.03.1904;30.03.1904;15;;eor;                                                                                                                                             
2290;Hohenpeiﬂenberg;SHK_TAG;01.04.1904;01.04.1904;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;03.04.1904;04.04.1904;2;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;06.04.1904;07.04.1904;2;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;09.04.1904;26.04.1904;18;;eor;                                                                                                                                             
2290;Hohenpeiﬂenberg;SHK_TAG;29.04.1904;06.05.1904;8;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;08.05.1904;22.11.1904;199;;eor;                                                                                                                                            
2290;Hohenpeiﬂenberg;SHK_TAG;19.01.1905;19.01.1905;1;;eor;                                                                                                                                              
2290;Hohenpeiﬂenberg;SHK_TAG;25.02.1905;25.02.1905;1;;eor;                                                                                                                                              
